"Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"bg","eu",0.6147,"0.0795",1904,7.7313,0,0.1771,"***"
"bg","cs",0.1773,"0.0302",1904,5.8618,0,0.1303,"***"
"bg","dummpy.ve_veg",0.1308,"0.0968",1904,1.3508,0.1769,0.0351,""
"bg","dummpy.ve_both",0.2178,"0.0678",1904,3.2106,0.0013,0.0841,"**"
"bg","he",0.1905,"0.0315",1904,6.044,0,0.1406,"***"
"pr","eu",0.5743,"0.0724",1904,7.9383,0,0.1793,"***"
"pr","cs",0.2,"0.0275",1904,7.267,0,0.1592,"***"
"pr","dummpy.ve_veg",0.2015,"0.0881",1904,2.2882,0.0222,0.0586,"*"
"pr","dummpy.ve_both",0.3079,"0.0617",1904,4.9884,0,0.1288,"***"
"pr","he",0.2083,"0.0287",1904,7.2634,0,0.1666,"***"
"os","eu",0.7188,"0.2387",1903,3.0108,0.0026,0.1343,"**"
"os","cs",0.3284,"0.0722",1903,4.5487,0,0.1566,"***"
"os","nr",-0.1395,"0.0698",1903,-1.9998,0.0455,-0.0703,"*"
"os","dummpy.ve_veg",1.0039,"0.259",1903,3.8765,1e-04,0.1748,"***"
"os","dummpy.ve_both",1.077,"0.2035",1903,5.2926,0,0.2696,"***"
"os","he",0.1567,"0.0762",1903,2.0576,0.0396,0.075,"*"
"status","bg",0.8003,"0.2343",1900,3.4162,6e-04,0.3723,"***"
"status","pr",-0.0393,"0.2571",1900,-0.1527,0.8786,-0.0169,""
"status","os",1.0725,"0.2261",1900,4.7438,0,0.1429,"***"
"status","eu",2.8386,"1.0215",1900,2.779,0.0055,0.3803,"**"
"status","cs",0.3421,"0.1024",1900,3.3423,8e-04,0.117,"***"
"status","nr",0.6279,"0.1039",1900,6.0424,0,0.2267,"***"
"status","dummpy.ve_veg",-0.728,"0.3289",1900,-2.2138,0.0268,-0.0909,"*"
"status","dummpy.ve_both",-0.7263,"0.2355",1900,-3.084,0.002,-0.1304,"**"
"status","he",-0.8,"0.1098",1900,-7.2827,0,-0.2746,"***"
"~~pr","~~bg",0.9201,"-",1910,102.5748,0,0.9201,"***"
"~~os","~~bg",0.4773,"-",1910,23.7214,0,0.4773,"***"
"~~os","~~pr",0.4612,"-",1910,22.701,0,0.4612,"***"
