"levels","n_species","n_naturalized","n_not_naturalized","n_all_species","proportion","continent.name","variable"
1,194,43,151,194,0.221649484536082,"Africa","Life_form_new"
2,1291,98,1193,1291,0.0759101471727343,"Africa","Life_form_new"
3,1212,39,1173,1212,0.0321782178217822,"Africa","Life_form_new"
0,2989,143,2846,2989,0.047842087654734,"Africa","ali_new_status"
1,313,51,262,313,0.162939297124601,"Africa","ali_new_status"
1,381,58,323,381,0.152230971128609,"Africa","prop_type"
2,306,12,294,306,0.0392156862745098,"Africa","prop_type"
3,1356,66,1290,1356,0.0486725663716814,"Africa","prop_type"
0,1727,23,1704,1727,0.013317892298784,"Africa","wcup_eco_use_status"
1,1575,171,1404,1575,0.108571428571429,"Africa","wcup_eco_use_status"
2,7,2,5,7,0.285714285714286,"Antarctic","Life_form_new"
3,3,1,2,3,0.333333333333333,"Antarctic","Life_form_new"
0,11,3,8,11,0.272727272727273,"Antarctic","ali_new_status"
1,1,1,0,1,1,"Antarctic","prop_type"
2,1,0,1,1,0,"Antarctic","prop_type"
3,3,0,3,3,0,"Antarctic","prop_type"
0,3,0,3,3,0,"Antarctic","wcup_eco_use_status"
1,8,3,5,8,0.375,"Antarctic","wcup_eco_use_status"
1,222,52,170,222,0.234234234234234,"Asia_Temperate","Life_form_new"
2,652,88,564,652,0.134969325153374,"Asia_Temperate","Life_form_new"
3,482,23,459,482,0.0477178423236514,"Asia_Temperate","Life_form_new"
0,1489,134,1355,1489,0.0899932840832774,"Asia_Temperate","ali_new_status"
1,153,45,108,153,0.294117647058824,"Asia_Temperate","ali_new_status"
1,246,62,184,246,0.252032520325203,"Asia_Temperate","prop_type"
2,131,13,118,131,0.099236641221374,"Asia_Temperate","prop_type"
3,696,50,646,696,0.0718390804597701,"Asia_Temperate","prop_type"
0,583,20,563,583,0.0343053173241852,"Asia_Temperate","wcup_eco_use_status"
1,1059,159,900,1059,0.15014164305949,"Asia_Temperate","wcup_eco_use_status"
1,85,34,51,85,0.4,"Asia_Tropical","Life_form_new"
2,681,57,624,681,0.0837004405286344,"Asia_Tropical","Life_form_new"
3,636,43,593,636,0.0676100628930818,"Asia_Tropical","Life_form_new"
0,1762,95,1667,1762,0.0539160045402951,"Asia_Tropical","ali_new_status"
1,133,48,85,133,0.360902255639098,"Asia_Tropical","ali_new_status"
1,178,48,130,178,0.269662921348315,"Asia_Tropical","prop_type"
2,186,8,178,186,0.043010752688172,"Asia_Tropical","prop_type"
3,411,47,364,411,0.114355231143552,"Asia_Tropical","prop_type"
0,881,16,865,881,0.018161180476731,"Asia_Tropical","wcup_eco_use_status"
1,1014,127,887,1014,0.125246548323471,"Asia_Tropical","wcup_eco_use_status"
1,22,3,19,22,0.136363636363636,"Australasia","Life_form_new"
2,161,6,155,161,0.0372670807453416,"Australasia","Life_form_new"
3,681,26,655,681,0.0381791483113069,"Australasia","Life_form_new"
0,923,28,895,923,0.0303358613217768,"Australasia","ali_new_status"
1,44,11,33,44,0.25,"Australasia","ali_new_status"
1,171,8,163,171,0.0467836257309941,"Australasia","prop_type"
2,62,3,59,62,0.0483870967741935,"Australasia","prop_type"
3,193,18,175,193,0.0932642487046632,"Australasia","prop_type"
0,463,2,461,463,0.00431965442764579,"Australasia","wcup_eco_use_status"
1,504,37,467,504,0.0734126984126984,"Australasia","wcup_eco_use_status"
1,206,44,162,206,0.213592233009709,"Europe","Life_form_new"
2,689,72,617,689,0.104499274310595,"Europe","Life_form_new"
3,355,9,346,355,0.0253521126760563,"Europe","Life_form_new"
0,1313,99,1214,1313,0.0753998476770754,"Europe","ali_new_status"
1,123,36,87,123,0.292682926829268,"Europe","ali_new_status"
1,220,47,173,220,0.213636363636364,"Europe","prop_type"
2,81,9,72,81,0.111111111111111,"Europe","prop_type"
3,713,42,671,713,0.05890603085554,"Europe","prop_type"
0,531,15,516,531,0.0282485875706215,"Europe","wcup_eco_use_status"
1,905,120,785,905,0.132596685082873,"Europe","wcup_eco_use_status"
1,150,69,81,150,0.46,"Northern_America","Life_form_new"
2,1237,138,1099,1237,0.111560226354082,"Northern_America","Life_form_new"
3,1474,127,1347,1474,0.0861601085481682,"Northern_America","Life_form_new"
0,2908,273,2635,2908,0.093878954607978,"Northern_America","ali_new_status"
1,294,85,209,294,0.289115646258503,"Northern_America","ali_new_status"
1,428,82,346,428,0.191588785046729,"Northern_America","prop_type"
2,250,16,234,250,0.064,"Northern_America","prop_type"
3,1670,139,1531,1670,0.0832335329341317,"Northern_America","prop_type"
0,1418,33,1385,1418,0.0232722143864598,"Northern_America","wcup_eco_use_status"
1,1784,325,1459,1784,0.182174887892377,"Northern_America","wcup_eco_use_status"
1,1,0,1,1,0,"Pacific","Life_form_new"
2,48,5,43,48,0.104166666666667,"Pacific","Life_form_new"
3,131,8,123,131,0.0610687022900763,"Pacific","Life_form_new"
0,182,9,173,182,0.0494505494505494,"Pacific","ali_new_status"
1,16,6,10,16,0.375,"Pacific","ali_new_status"
1,50,2,48,50,0.04,"Pacific","prop_type"
2,29,2,27,29,0.0689655172413793,"Pacific","prop_type"
3,35,9,26,35,0.257142857142857,"Pacific","prop_type"
0,77,0,77,77,0,"Pacific","wcup_eco_use_status"
1,121,15,106,121,0.12396694214876,"Pacific","wcup_eco_use_status"
1,111,62,49,111,0.558558558558559,"Southern_America","Life_form_new"
2,1736,140,1596,1736,0.0806451612903226,"Southern_America","Life_form_new"
3,1386,140,1246,1386,0.101010101010101,"Southern_America","Life_form_new"
0,3404,280,3124,3404,0.082256169212691,"Southern_America","ali_new_status"
1,255,89,166,255,0.349019607843137,"Southern_America","ali_new_status"
1,339,79,260,339,0.233038348082596,"Southern_America","prop_type"
2,407,29,378,407,0.0712530712530713,"Southern_America","prop_type"
3,1412,128,1284,1412,0.0906515580736544,"Southern_America","prop_type"
0,2182,39,2143,2182,0.0178735105407883,"Southern_America","wcup_eco_use_status"
1,1477,330,1147,1477,0.22342586323629,"Southern_America","wcup_eco_use_status"
