"n_species","mean","continent.name","variable","levels"
1374,2.29872634643377,"Africa","Height_max_max",NA
2480,1.88790322580645,"Africa","bg_num",NA
680,0.14005,"Africa","hab_suit_mean",NA
2480,3.55483870967742,"Africa","new_sum.L3.code",NA
2480,2.19717741935484,"Africa","prov_num",NA
201,54.2238805970149,"Africa","residence_time_to_2020",NA
0,NA,"Antarctic","Height_max_max",NA
0,NA,"Antarctic","bg_num",NA
0,NA,"Antarctic","hab_suit_mean",NA
0,NA,"Antarctic","new_sum.L3.code",NA
0,NA,"Antarctic","prov_num",NA
0,NA,"Antarctic","residence_time_to_2020",NA
278,6.89203237410072,"Asia_Temperate","Height_max_max",NA
481,2.08523908523909,"Asia_Temperate","bg_num",NA
208,0.199105769230769,"Asia_Temperate","hab_suit_mean",NA
481,2.33056133056133,"Asia_Temperate","new_sum.L3.code",NA
481,2.60706860706861,"Asia_Temperate","prov_num",NA
168,81.7440476190476,"Asia_Temperate","residence_time_to_2020",NA
395,4.92025316455696,"Asia_Tropical","Height_max_max",NA
1371,1.94237782640408,"Asia_Tropical","bg_num",NA
164,0.143987804878049,"Asia_Tropical","hab_suit_mean",NA
1371,3.35156819839533,"Asia_Tropical","new_sum.L3.code",NA
1371,2.18453683442743,"Asia_Tropical","prov_num",NA
295,60.0169491525424,"Asia_Tropical","residence_time_to_2020",NA
447,8.49258389261745,"Australasia","Height_max_max",NA
776,1.51417525773196,"Australasia","bg_num",NA
596,0.125342281879195,"Australasia","hab_suit_mean",NA
776,1.96005154639175,"Australasia","new_sum.L3.code",NA
776,1.83247422680412,"Australasia","prov_num",NA
108,58.2037037037037,"Australasia","residence_time_to_2020",NA
274,2.72012773722628,"Europe","Height_max_max",NA
391,1.61381074168798,"Europe","bg_num",NA
265,0.139003773584906,"Europe","hab_suit_mean",NA
391,6.21739130434783,"Europe","new_sum.L3.code",NA
391,2.1227621483376,"Europe","prov_num",NA
96,70.1875,"Europe","residence_time_to_2020",NA
1594,5.53884253450439,"Northern_America","Height_max_max",NA
2043,2.01125795398923,"Northern_America","bg_num",NA
1172,0.189404436860068,"Northern_America","hab_suit_mean",NA
2043,9.33039647577093,"Northern_America","new_sum.L3.code",NA
2043,2.56289769946158,"Northern_America","prov_num",NA
317,65.1451104100946,"Northern_America","residence_time_to_2020",NA
56,8.75357142857143,"Pacific","Height_max_max",NA
79,2.0253164556962,"Pacific","bg_num",NA
7,0.182857142857143,"Pacific","hab_suit_mean",NA
79,1.25316455696203,"Pacific","new_sum.L3.code",NA
79,2.11392405063291,"Pacific","prov_num",NA
8,49.625,"Pacific","residence_time_to_2020",NA
1403,3.00583036350677,"Southern_America","Height_max_max",NA
2554,1.98747063429914,"Southern_America","bg_num",NA
745,0.144146308724832,"Southern_America","hab_suit_mean",NA
2554,3.37000783085356,"Southern_America","new_sum.L3.code",NA
2554,2.45497259201253,"Southern_America","prov_num",NA
267,51.7752808988764,"Southern_America","residence_time_to_2020",NA
