"prov_name_en","prov_name_cn","n.species"
"Anhui","安徽省",220
"Beijing","北京市",232
"Chongqing","重庆市",229
"Fujian","福建省",387
"Gansu","甘肃省",140
"Guangdong","广东省",428
"Guangxi","广西壮族自治区",384
"Guizhou","贵州省",239
"Hainan","海南省",315
"Hebei","河北省",223
"Heilongjiang","黑龙江省",129
"Henan","河南省",201
"Hong Kong","香港特别行政区",238
"Hubei","湖北省",229
"Hunan","湖南省",252
"Inner Mongolia","内蒙古自治区",253
"Jiangsu","江苏省",350
"Jiangxi","江西省",298
"Jilin","吉林省",109
"Liaoning","辽宁省",177
"Ningxia","宁夏回族自治区",49
"Qinghai","青海省",76
"Shaanxi","陕西省",195
"Shandong","山东省",219
"Shanghai","上海市",270
"Shanxi","山西省",158
"Sichuan","四川省",295
"Taiwan","台湾省",464
"Tianjin","天津市",167
"Tibet","西藏自治区",105
"Xinjiang","新疆维吾尔自治区",141
"Yunnan","云南省",415
"Zhejiang","浙江省",323
